1000	     0.3268	    0.2246 
2000	     0.3396	    0.2236 
3000	     0.3369	    0.2312 
4000	     0.3300	    0.2414 
5000	     0.3233	    0.2320 
6000	     0.3228	    0.2388 
7000	     0.3332	    0.2356 
8000	     0.3363	    0.2300 
9000	     0.3360	    0.2311 
10000	     0.3361	    0.2292 
11000	     0.3311	    0.2304 
12000	     0.3324	    0.2341 
13000	     0.3342	    0.2321 
14000	     0.3288	    0.2330 
15000	     0.3344	    0.2322 
16000	     0.3326	    0.2308 
17000	     0.3315	    0.2351 
18000	     0.3376	    0.2286 
19000	     0.3307	    0.2350 
20000	     0.3289	    0.2333 
21000	     0.3278	    0.2338 
22000	     0.3300	    0.2325 
23000	     0.3271	    0.2341 
24000	     0.3263	    0.2358 
25000	     0.3301	    0.2290 
26000	     0.3295	    0.2279 
27000	     0.3308	    0.2335 
28000	     0.3297	    0.2313 
29000	     0.3323	    0.2326 
30000	     0.3318	    0.2308 
31000	     0.3301	    0.2301 
32000	     0.3350	    0.2325 
33000	     0.3326	    0.2313 
34000	     0.3309	    0.2341 
35000	     0.3270	    0.2314 
36000	     0.3295	    0.2329 
37000	     0.3287	    0.2312 
38000	     0.3338	    0.2314 
39000	     0.3315	    0.2310 
40000	     0.3321	    0.2303 
41000	     0.3343	    0.2304 
42000	     0.3328	    0.2331 
43000	     0.3295	    0.2329 
44000	     0.3280	    0.2323 
45000	     0.3315	    0.2319 
46000	     0.3321	    0.2307 
47000	     0.3347	    0.2316 
48000	     0.3313	    0.2319 
49000	     0.3298	    0.2328 
50000	     0.3298	    0.2317 
